,subject,two_back,no_back
0,0,1.1860782823394787,1.3098080399962746
1,1,1.3028375750542402,1.3033518956392618
2,2,1.3046648466414026,1.3127393289820493
3,3,1.230264922769561,1.1776914862575982
4,4,1.3591646363474925,1.3572902169690655
5,5,1.3437956996386415,1.315897966673012
6,6,1.3397682975316902,1.3263491343453981
7,7,1.3614491677646212,1.3388926354682633
8,8,1.2714824185692104,1.332328365502819
9,9,1.2657704413484374,1.2561880938368921
10,10,1.3163463510726963,1.3267557365339926
11,11,1.3552105995450197,1.368014215940906
12,12,1.7225035288332102,1.6922623942239385
13,13,1.3163297423713423,1.332276279050512
14,14,1.3357362917331335,1.3588972917824074
15,15,1.3202954035933434,1.311371151293737
16,16,1.3769307416749899,1.3288745459778146
17,17,1.0903645257006827,1.3483630090761316
18,18,1.3238748293209799,1.334038323911213
19,19,1.3459729002924867,1.3362818898387807
20,20,1.3512937307616668,1.3470710809212918
21,21,1.3668452989680577,1.3564958096516682
22,22,1.3471607311319926,1.3358065076713368
23,23,1.346504185755293,1.301707046445548
24,24,1.3578808278731982,1.3815629650435466
25,25,1.3288681761235288,1.3269297707170284
26,26,1.3401870827524067,1.329431098499091
27,27,1.2243649601420723,1.292979102195303
28,28,1.325032945406766,1.3147198972766752
29,29,1.3337941016760773,1.3259578101665555
30,30,1.1707801066971966,1.1860828332851676
31,31,1.3659975474112906,1.3990450315576723
32,32,1.388849481353483,1.355789777232471
33,33,1.3693124109671422,1.3544127989704078
34,34,1.114683907459343,1.073992841644685
35,35,1.2622646920198592,1.3180362957761977
36,36,1.351343035091042,1.3559976279562258
37,37,1.3287637316882246,1.3099432431375422
38,38,1.3865569701454132,1.3985041250389414
39,39,1.6793235137561882,1.6654562473845878
40,40,1.3862532381930797,1.3492365218138676
41,41,1.3605781236152106,1.332792226995541
42,42,1.357463280172751,1.3481304796116975
43,43,1.362856221027145,1.318435043771038
44,44,1.3567242652895513,1.3337690413320866
45,45,1.2271745916334695,1.1559806710181035
46,46,1.3324157350836339,1.2974498740429903
47,47,1.3765102920740473,1.327026589815155
48,48,1.3468568368493674,1.3332444599683155
49,49,1.378102162778315,1.3556537801131803
50,50,1.3801985570757167,1.3645435175573817
51,51,1.2748697257470156,1.294889219564638
52,52,1.3678862609607103,1.3516515114247545
53,53,1.3567344590792987,1.3488043270732786
54,54,1.293494123933914,1.3325847373964002
55,55,1.347413415938903,1.2940074874462026
56,56,1.239814880553919,1.2539219618142423
57,57,1.3367097611749221,1.2644581771716346
58,58,1.3183095418076962,1.298463282202842
59,59,1.3778033210865908,1.3576939788283793
60,60,1.2587558605754317,1.2354926177505468
61,61,1.3682103100401166,1.34886715289496
62,62,1.3417711274813886,1.3429187181974584
63,63,1.3385150497708043,1.2968905194957925
64,64,1.3730537479897,1.3598097150813229
65,65,1.378443770617625,1.2999378334552114
66,66,1.3610302163422707,1.363037469499671
67,67,1.2386117921756956,1.2712772874786686
68,68,1.3665848076691844,1.374280798731114
69,69,1.3563049916105172,1.3478357375736072
70,70,1.5043826469951267,1.497523331096028
71,71,1.332123939593093,1.0917507490552947
