Participant,Window,no_back,two_back
0,0,42.436113448284694,64.04865037522863
0,1,48.53836780168571,51.25128857598826
0,2,50.67501244161852,39.349433877990066
0,3,49.34665533491884,37.096739854869135
0,4,41.74470968501059,36.92639411844049
0,5,41.54571747655762,48.634779387024516
0,6,43.95079480701495,63.35836805123063
0,7,44.47147968367679,62.12666065252652
0,8,43.611568364842014,56.96546228266032
0,9,42.68817209792247,51.85915450143391
0,10,42.19753182982271,45.399035186924586
0,11,41.59543316419711,42.99525838521977
0,12,38.82569746293729,41.6785751765582
0,13,40.144269568291556,42.970807646155706
0,14,42.15093336873005,44.31833586453329
0,15,43.71304749723731,43.029411350373
0,16,46.29638256802979,43.41322077700751
0,17,42.76619122836876,46.367136677181676
0,18,42.370904844502995,47.67718197880053
0,19,42.92456314931438,47.610396337176
0,20,42.41600514882767,45.33812398779852
0,21,42.021867560581704,42.71578928847789
0,22,37.73773539077132,41.28012009704511
0,23,40.47871557642618,37.65007396393962
0,24,42.96895857156073,38.68676334419454
0,25,46.70753372567925,47.243030563502444
0,26,50.99937993865121,49.956915784512994
0,27,55.08075788184849,54.898473115909546
0,28,86.5789712517061,55.903294329199646
0,29,99.49887284169529,51.08516315039778
0,30,92.83320481304747,47.75063358415414
0,31,83.80899362936314,50.27094808402342
0,32,55.71156882348022,49.48150681947702
0,33,52.36323361554325,40.47758452262961
0,34,59.16782733913301,52.904089920382496
0,35,67.98952327043304,83.49230409004633
0,36,76.95110682470478,93.85417431877762
0,37,68.23575426755384,88.18263008845172
0,38,59.35053674981175,76.10312077117501
0,39,45.29903588699455,56.004482113569544
0,40,43.9471796049279,55.14246967552238
0,41,41.93298050977317,45.57309042039914
0,42,42.728918127924565,51.53603297807448
0,43,44.538394674827785,51.14831863146178
0,44,54.17125739636832,52.005613114690924
0,45,69.72713431445781,53.36978291187577
0,46,69.68295578937712,53.01875236054158
0,47,67.72755772364931,52.20645476129025
0,48,61.69404111346443,50.005132377307575
0,49,55.92638428635973,46.23624571489997
0,50,52.916101600267275,42.94319667080124
0,51,47.19057848067122,41.37339483978117
0,52,52.3231620456619,38.86168790965185
0,53,49.85288207049703,38.4107830439946
0,54,50.389117388208426,45.66543803123039
0,55,55.620523896882084,49.49845431739381
0,56,55.212046091331715,53.22393702983884
0,57,82.49551339889638,56.05794051358721
0,58,96.179748466526,52.82857864822691
0,59,96.23168436239843,47.60458016417151
0,60,85.60348660906462,49.07757770882845
0,61,63.96221351071596,50.79387684717768
0,62,51.87676453112716,42.36467134208956
0,63,52.94143563950917,37.92113350560326
0,64,92.8567896729419,66.80150934778301
0,65,111.41504338767136,74.20276343854889
0,66,105.43384979275666,72.85691970539992
0,67,85.9996482068845,71.0984306547803
0,68,56.37867936772657,65.85691582484016
0,69,47.555349253340935,55.70650332660304
0,70,49.53767294176312,41.23652288190293
0,71,50.5277588123156,37.48228429043519
0,72,43.3843447396574,36.36918011410908
1,0,53.302911607391195,54.11027533466822
1,1,52.78855881458526,52.343252654111154
1,2,55.078452429865244,53.87110072357907
1,3,52.13449654934061,51.257953918082606
1,4,45.982392313394975,49.67112263479725
1,5,46.592581432949466,52.1338778116175
1,6,50.83206863360112,58.07035546892135
1,7,54.60311651045607,64.952772786767
1,8,54.49392801448984,79.7078560949341
1,9,52.73792673362803,76.71020063734669
1,10,53.891226944036916,64.29713027207794
1,11,54.63597626585906,65.94823289357254
1,12,53.03168057741738,68.14107916776307
1,13,47.990236699367735,67.00882633256448
1,14,49.64055194163744,60.54058140231204
1,15,52.05322244235069,52.2657194552314
1,16,48.10905521957363,48.56525884399891
1,17,50.083934244675866,48.553914300968636
1,18,50.098562810866326,53.37715688552874
1,19,50.732619059370194,52.03109533403398
1,20,54.5110816342605,48.09129123551081
1,21,55.2768696196034,47.69434111573424
1,22,50.30809370805115,50.28850498418303
1,23,47.796503084250304,51.64890996814847
1,24,50.14036918102199,45.67429450332189
1,25,59.279099231175095,52.842792194946604
1,26,58.328720405980114,58.410586004537365
1,27,63.68125160887892,60.17599589060839
1,28,69.10363735724643,65.46272675724583
1,29,65.98773395838934,63.081833446059406
1,30,61.37511466340744,60.861117675072
1,31,61.07941954494361,59.32963812119355
1,32,54.289778413049554,57.9243024754199
1,33,51.64956984225089,52.6739284096755
1,34,49.87296194136602,45.52096406378757
1,35,51.8779916634881,62.53217849064521
1,36,53.71825673547433,67.17041700367088
1,37,61.957820658925215,65.67572449297613
1,38,65.38036574277356,59.98135721042501
1,39,64.4496826405601,54.56967931408078
1,40,64.80567478060817,52.27510563971607
1,41,67.49602308456103,43.492931502566336
1,42,68.57656997475846,43.45114335052651
1,43,62.028928024912304,41.775668135334335
1,44,57.15566526697512,46.04808142934039
