,subject,two_back,no_back
0,0,66.11448832720556,88.68621547256406
1,1,72.53011183237922,72.38453982471826
2,2,62.294690677182906,66.66367191505473
3,3,104.80427949005683,102.24870321082324
4,4,71.75451190116786,65.58197562934456
5,5,76.3820658491913,72.11352331752624
6,6,66.44914509266869,64.82844368245846
7,7,61.63494972515976,64.2961874299902
8,8,59.49796895035267,72.38330992414852
9,9,88.52933498174843,80.7739386643987
10,10,73.8626127020067,88.15541719587881
11,11,63.91824447384654,64.77484204523921
12,12,61.0063646644147,60.57326839556235
13,13,55.470981530549395,55.803672333137825
14,14,56.74805300694652,64.14352408785385
15,15,75.53751206299633,67.39512759864539
16,16,74.90355970537435,70.96138238692572
17,17,63.611698316541016,114.7710795489796
18,18,63.6264158924913,67.93125151742917
19,19,76.92605667291815,71.19075194268704
20,20,72.38287183606477,72.73758989249319
21,21,56.77570339023698,55.646155010188515
22,22,71.22817321906382,65.62107903238888
23,23,79.33301627516386,68.43144228324007
24,24,57.29634885535529,60.93932533681343
25,25,57.13377173166828,60.02650736727557
26,26,58.75035681333154,55.82255118985522
27,27,83.2031181012056,85.71469880248051
28,28,58.51458421145762,60.7572884651747
29,29,73.03076170407174,74.22405203657426
30,30,114.91937956258306,112.31699934371072
31,31,52.64411966555553,56.10882151395272
32,32,76.33452284513402,71.77223419903336
33,33,56.16997313006956,54.13828912472282
34,34,119.5241147228827,113.93188102217287
35,35,64.76731596034794,75.7381830254624
36,36,49.85378350027071,51.97505396470689
37,37,81.12961736396736,76.78290733179135
38,38,73.43078390290665,76.6844822199255
39,39,66.8194769853134,66.34148293091879
40,40,56.74583473730472,52.40594373621876
41,41,73.61591706047639,68.68181088079771
42,42,51.57610470163874,53.74321768002398
43,43,73.64011716660761,66.59602086721824
44,44,67.50737619767796,64.04293856532864
45,45,113.38170892580769,97.7511277361081
46,46,85.099994738975,70.22058323900264
47,47,88.0766528434629,73.59964312770245
48,48,56.69230082446728,58.95832278222545
49,49,60.99267411115551,57.636304866536655
50,50,75.16514799652774,70.36280930598518
51,51,92.19763647609714,93.99256469426982
52,52,54.329670542880976,53.67746598713925
53,53,62.951249615737495,70.33750785412094
54,54,69.14604249093816,75.26430304688651
55,55,75.23844087589812,70.69765801692816
56,56,90.79655462772789,96.47277505516267
57,57,77.83149243567468,68.02313662013157
58,58,64.26277805406596,62.290268930771845
59,59,60.89380881544999,56.41588551640188
60,60,94.38808065570429,91.20031365534786
61,61,70.06034647770544,62.97670210808107
62,62,63.02680706304106,64.82732472203632
63,63,77.19761831399443,68.98466120127918
64,64,51.73534795091777,50.549342175421536
65,65,87.69947393229897,67.66384112813452
66,66,57.274106153702014,54.97087296238384
67,67,153.04398988585612,181.39189096402646
68,68,74.82091089481668,73.77574905213908
