Unnamed: 0,subject,two_back,no_back,zscore_two_back,zscore_no_back
12,12,1.7225035288332102,1.6922623942239383,4.081134653047447,3.7956560075328984
39,39,1.6793235137561882,1.6654562473845878,3.626663658331863,3.51829982172384
81,81,1.6135678017824109,1.6343760899984097,2.934582755264819,3.196721567354163
108,108,1.6792777468335314,1.6916295718480772,3.626181960054829,3.789108360028192
131,131,0.881658825984635,0.9625418618416128,-4.7687818609529025,-3.7545713631167223
156,156,1.6319417330216472,1.5781985356329795,3.127968950064346,2.6154671147745012
159,159,1.6830676631347512,1.7057630365147851,3.666070946388712,3.935343620012323
180,180,1.6304173295918385,1.6299073821098389,3.111924556799145,3.1504850163535014
216,216,1.1537188520874244,1.024145846488973,-1.9053416684301723,-3.117171056581448
221,221,1.6259040222262862,1.6525513618184342,3.064421857130769,3.3847763481570796
222,222,1.729016134774781,1.7359313080950591,4.149680032088579,4.247486830601381
226,226,1.6329003388829324,1.5963135338084171,3.138058306414531,2.8028982599513195
241,241,0.97344754009182,1.1563460713780571,-3.802702804946384,-1.749329928273114
266,266,1.0405294222415502,0.9743169820197938,-3.0966639197444934,-3.6327372763441574
286,286,1.6350915634832908,1.6733881077645938,3.1611210131318352,3.6003687051986932
297,297,1.6578488649480887,1.647925479205275,3.4006423151809595,3.3369135514158925
301,301,1.674006823682221,1.6704162318646922,3.5707053308000103,3.5696194830432524
328,328,1.0354786828344351,1.0826180721380267,-3.1498231082789663,-2.5121742407772016
